family,method,regime,n_assets,budget,noise_level,depth,shot_budget,mitigation_label,mean_best_energy,std_best_energy,mean_gap,mean_ratio,median_best_energy,success_probability,p_succ,mean_valid_ratio,mean_runtime_seconds,mean_runtime_per_call,mean_total_shots,mean_shots_per_call,mean_objective_calls
qaoa,bo_direct,clustered,4,2,0.04,2,32,readout,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,0.37657354165006574,0.4400526218944127,0.026494979858398438,0.005298995971679687,640.0,128.0,4.0
qaoa,bo_direct,clustered,4,2,0.04,2,32,readout+zne,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,0.48102196920894147,0.576997093890699,0.0025899410247802734,0.0008633136749267578,800.0,266.6666666666667,2.0
qaoa,bo_direct,clustered,6,3,0.0,1,32,none,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,0.09375,0.296875,0.09472012519836426,0.01894402503967285,640.0,128.0,4.0
qaoa,bo_direct,clustered,6,3,0.0,1,32,readout,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,0.09296543736430986,0.2954215049411218,0.07155609130859375,0.01431121826171875,640.0,128.0,4.0
qaoa,bo_direct,clustered,6,3,0.0,1,32,readout+zne,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,0.06464074963634876,0.31786005932037953,0.009567975997924805,0.0031893253326416016,800.0,266.6666666666667,2.0
qaoa,bo_direct,clustered,6,3,0.0,2,32,none,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,0.1171875,0.3671875,0.037696123123168945,0.007539224624633789,640.0,128.0,4.0
qaoa,bo_direct,clustered,6,3,0.0,2,32,readout,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,0.11158669738653704,0.3650716109065274,0.04498100280761719,0.008996200561523438,640.0,128.0,4.0
qaoa,bo_direct,clustered,6,3,0.0,2,32,readout+zne,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,0.09570808001866168,0.3810315683457118,0.003325939178466797,0.0011086463928222656,800.0,266.6666666666667,2.0
qaoa,bo_direct,clustered,6,3,0.04,1,32,none,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,0.1015625,0.3125,0.05829977989196777,0.011659955978393555,640.0,128.0,4.0
qaoa,bo_direct,clustered,6,3,0.04,1,32,readout,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,0.09948360119989703,0.3105974798564832,0.038903236389160156,0.007780647277832032,640.0,128.0,4.0
qaoa,bo_direct,clustered,6,3,0.04,1,32,readout+zne,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,0.06464074963634876,0.31786005932037953,0.0032901763916015625,0.0010967254638671875,800.0,266.6666666666667,2.0
qaoa,bo_direct,clustered,6,3,0.04,2,32,none,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,0.125,0.390625,0.04492497444152832,0.008984994888305665,640.0,128.0,4.0
qaoa,bo_direct,clustered,6,3,0.04,2,32,readout,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,0.12058313128437716,0.38925843077783523,0.044629812240600586,0.008925962448120116,640.0,128.0,4.0
qaoa,bo_direct,clustered,6,3,0.04,2,32,readout+zne,-0.27263459418542246,,0.0,1.0,-0.27263459418542246,1.0,0.09570808001866168,0.3810315683457118,0.0034461021423339844,0.0011487007141113281,800.0,266.6666666666667,2.0
qaoa,bo_direct,high_corr,4,2,0.0,1,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,0.3671875,0.3671875,0.07164883613586426,0.014329767227172852,640.0,128.0,4.0
qaoa,bo_direct,high_corr,4,2,0.0,1,32,readout,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,0.3683149549696181,0.3683149549696181,0.06604981422424316,0.013209962844848632,640.0,128.0,4.0
qaoa,bo_direct,high_corr,4,2,0.0,1,32,readout+zne,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,0.4649397537077456,0.4649397537077456,0.002597808837890625,0.000865936279296875,800.0,266.6666666666667,2.0
qaoa,bo_direct,high_corr,4,2,0.0,2,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,0.4375,0.4375,0.0394289493560791,0.00788578987121582,640.0,128.0,4.0
qaoa,bo_direct,high_corr,4,2,0.0,2,32,readout,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,0.44111292229758386,0.44111292229758386,0.04010200500488281,0.008020401000976562,640.0,128.0,4.0
qaoa,bo_direct,high_corr,4,2,0.0,2,32,readout+zne,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,0.5418904667269975,0.5418904667269975,0.002662181854248047,0.0008873939514160156,800.0,266.6666666666667,2.0
qaoa,bo_direct,high_corr,4,2,0.04,1,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,0.3828125,0.3828125,0.04620814323425293,0.009241628646850585,640.0,128.0,4.0
